iter	change	metric	delta	verdict	notes
0	N=100 baseline (carry-over from N=50: TVB M=16, IDW p=6)	0.02835	0	keep	Case A=0.02835, Case B=0.04881, Case C=0.06797 (oscillating)
1	TVB M=16 -> M=32	0.02819	-0.56%	keep	cone peak 0.9686 -> 0.9723 sharper
2	TVB M=32 -> M=64	0.02809	-0.36%	keep	cone peak 0.972 -> 0.975, undershoot -0.0005 -> -0.0016
3	TVB M=64 -> M=128	0.02813	+0.14%	revert	M=64 sweet spot at N=100. Peak 0.975 -> 0.980 sharper, but cone L1 regressed.
4	IDW p=6 -> p=8	0.02859	+1.78%	revert	p=6 sweet spot. Slot regressed (0.157 -> 0.160). Note Case B also changed (0.04881 -> 0.04912) because LSQ weighting affects both.
5	IDW p=6 -> p=7	0.02832	+0.82%	revert	p=6 still best at N=100. Slot regressed (0.157 -> 0.159).
6	smoothness threshold 0.1 -> 0.07	0.02818	+0.32%	revert	0.1 still optimal at N=100. Tighter relaxation hurt cone (0.01355 -> 0.01390).
7	face GQ 2pt -> 3pt	0.02815	+0.21%	revert	2pt sufficient. Wall +38% for nothing.
8	vertex_mlp=True (PYG2010)	0.04676	+66.5%	revert	severe overcrushing, peak 0.97 -> 0.86. Same finding as N=25 iter 12.
9	virtual_uu_gradient=True (Darwish-Moukalled)	DIVERGED	+inf	revert	1e+23 blow-up. virt-UU r approx 1 (downwind psi=2 max compression). Geometric UU has natural self-shutoff at curved regions; gradient-based loses that brake. extremum_relax bypasses LMP at smooth cells - compounds.
10	parallel 4-case + perf-opt + CICSAM Case D added	0.02818	0%	keep	Case A unchanged metric. Wall 91min seq -> 38min parallel (-58%). CICSAM (Case D)=0.02098 BEATS A by -26% (slot -33%, hump -8%). switch primary to CICSAM next iter.
11	swap Case A: downwind -> CICSAM (primary metric switch)	0.02098	-25.5%	keep	new baseline. Case D=downwind ref=0.02818. BLAS pin no help (single-thread bound). Wall 36.8min unchanged.
12	parallel CICSAM TVB M scan (B=128, D=32 vs A=64)	0.02095	-0.14%	keep	M=128 marginal best (hump -1.7%). M=32 +0.14% worse. Adopt M=128.
13	parallel CICSAM Co scan (B=0.3, D=0.45 vs A=0.4)	0.02095	0%	keep	A=0.02095 best TOTAL. B=0.02124 BEST slot (-15%) but worst cone. D=0.02320 BEST cone/hump but worst slot. Trade-off: single Co optimal=0.4. Need adaptive Co or UQ blend.
